City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,punta arenas,-53.15,-70.9167,48.22,53,40,19.57,CL,1712084642
83,qaqortoq,60.7167,-46.0333,30.78,65,0,3.74,GL,1712084825
84,iqaluit,63.7506,-68.5145,31.69,92,66,10.0,CA,1712084826
85,enewetak,11.3474,162.3373,80.11,82,100,22.66,MH,1712084827
86,ulladulla,-35.35,150.4667,57.69,69,2,3.62,AU,1712084828
87,nemuro,43.3236,145.575,32.27,75,1,8.61,JP,1712084745
88,sokcho,38.2083,128.5911,45.45,86,100,6.71,KR,1712084831
89,papatowai,-46.5619,169.4708,49.71,87,100,4.18,NZ,1712084832
90,north platte,41.1239,-100.7654,58.89,33,0,30.0,US,1712084697
91,lebu,-37.6167,-73.65,58.46,76,100,10.74,CL,1712084560
92,maluso,6.543,121.8753,79.5,85,6,5.06,PH,1712084835
93,anadyr,64.75,177.4833,7.3,84,75,4.47,RU,1712084835
94,invercargill,-46.4,168.35,46.02,97,100,1.99,NZ,1712084836
95,mocimboa,-11.3167,40.35,77.31,92,99,6.89,MZ,1712084837
96,frontera,26.9333,-101.45,78.55,24,0,9.22,MX,1712084838
97,holualoa,19.6228,-155.9522,75.56,79,40,5.75,US,1712084839
98,chandler,33.3062,-111.8412,69.6,49,20,6.91,US,1712084801
99,ancud,-41.8697,-73.8203,54.61,77,26,21.79,CL,1712084841
100,thunder bay,48.4001,-89.3168,38.1,73,100,8.9,CA,1712084836
101,rajaori,33.3833,74.3,61.56,44,100,5.48,IN,1712084842
102,kavieng,-2.5744,150.7967,81.7,80,100,9.26,PG,1712084843
103,yengema,8.7167,-11.1667,78.28,81,41,3.56,SL,1712084844
104,helensburgh,56.0061,-4.7265,46.45,96,100,4.5,GB,1712084750
105,moron,-34.6534,-58.6198,72.81,60,100,23.0,AR,1712084846
106,ust'-ilimsk,58.0006,102.6619,19.44,94,100,4.0,RU,1712084846
107,ilulissat,69.2167,-51.1,26.62,74,40,5.75,GL,1712084848
108,kargasok,59.0556,80.8572,32.97,100,100,4.0,RU,1712084849
109,saipan,15.1355,145.701,79.5,89,75,11.5,MP,1712084850
110,singkil,-7.9855,111.4161,77.07,95,100,3.38,ID,1712084851
111,mhangura,-16.8939,30.1683,71.6,57,70,2.68,ZW,1712084852
112,port alfred,-33.5906,26.891,62.19,85,28,4.0,ZA,1712084852
113,mandalgovi,45.7625,106.2708,30.18,52,91,7.63,MN,1712084854
114,yellowknife,62.456,-114.3525,30.42,71,76,5.01,CA,1712084854
115,jamiltepec,16.2833,-97.8167,91.74,30,100,10.51,MX,1712084855
116,camiling,15.7,120.4167,71.94,83,13,5.59,PH,1712084856
117,pulandian,39.3953,121.9669,52.03,52,100,9.04,CN,1712084857
118,san antonio de pale,-1.4014,5.6325,84.09,71,67,3.18,GQ,1712084858
119,tolanaro,-25.0319,46.9987,72.86,85,100,13.35,MG,1712084861
120,faversham,51.3148,0.8886,52.18,92,100,14.5,GB,1712084861
121,asaita,11.5636,41.4394,83.68,63,99,17.94,ET,1712084862
122,donaghadee,54.6333,-5.5333,47.12,90,100,1.01,GB,1712084863
123,tazacorte,28.629,-17.9293,68.97,89,20,4.0,ES,1712084864
124,udachny,66.4167,112.4,16.25,87,100,17.43,RU,1712084865
125,olyokminsk,60.3736,120.4264,23.88,94,99,6.53,RU,1712084866
126,keflavik,64.0049,-22.5624,32.43,86,100,20.71,IS,1712084866
127,lamu,-2.2717,40.902,82.02,81,100,11.68,KE,1712084867
128,nizhniy odes,63.6445,54.856,19.11,90,100,8.63,RU,1712084868
129,east london,-33.0153,27.9116,67.84,67,5,11.34,ZA,1712084869
130,karangampel,-6.4622,108.4519,82.06,78,100,4.63,ID,1712084871
131,mossel bay,-34.1831,22.146,63.95,87,100,4.23,ZA,1712084871
132,newman,37.3138,-121.0208,74.05,57,0,5.01,US,1712084872
133,whitehorse,60.7161,-135.0538,33.03,74,100,4.0,CA,1712084873
134,selfoss,63.9331,-20.9971,33.04,81,100,15.59,IS,1712084874
135,talnakh,69.4865,88.3972,4.69,86,100,7.47,RU,1712084677
136,shalqar,47.8333,59.6,50.41,65,76,1.52,KZ,1712084875
137,port elizabeth,-33.918,25.5701,66.09,81,86,5.01,ZA,1712084876
138,st. john's,47.5649,-52.7093,37.27,87,100,18.41,CA,1712084758
139,rome,34.257,-85.1647,82.26,58,75,12.66,US,1712084201
140,castro de rei,42.7167,-7.5667,50.36,97,100,8.41,ES,1712084878
141,happy valley-goose bay,53.3168,-60.3315,36.61,72,86,13.31,CA,1712084879
142,al kharijah,25.4514,30.5464,80.82,24,0,11.16,EG,1712084880
143,vorgashor,67.5833,63.95,15.35,93,100,17.56,RU,1712084881
144,thompson,55.7435,-97.8558,30.36,74,100,2.3,CA,1712084882
145,port alberni,49.2413,-124.8028,53.87,86,100,10.0,CA,1712084882
146,evinayong,1.4368,10.5512,72.93,91,96,1.97,GQ,1712084883
147,ola,59.5833,151.2833,7.43,80,3,8.79,RU,1712084884
148,dryden,49.7833,-92.7503,39.49,48,40,9.22,CA,1712084692
149,ushuaia,-54.8,-68.3,46.06,49,40,12.66,AR,1712084615
150,novyy urgal,51.0736,132.5642,18.91,97,100,1.59,RU,1712084887
151,afaahiti,-17.75,-149.2833,80.47,77,83,19.64,PF,1712084888
152,kruisfontein,-34.0033,24.7314,63.88,82,9,11.34,ZA,1712084889
153,monroe,43.1501,-77.6831,47.44,89,100,16.11,US,1712084846
154,gaalkacyo,6.7697,47.4308,80.73,71,2,17.72,SO,1712084890
155,namibe,-15.1961,12.1522,73.17,85,45,8.81,AO,1712084891
156,mount darwin,-16.7725,31.5838,73.44,59,94,3.56,ZW,1712084893
157,gaigeturi,33.4644,126.3183,61.92,98,100,14.54,KR,1712084893
158,ubari,26.5921,12.7805,80.69,11,5,9.51,LY,1712084894
159,lamia,38.9,22.4333,67.03,64,91,6.22,GR,1712084895
160,kristiansund,63.1115,7.732,33.85,55,20,19.57,NO,1712084896
161,albany,42.6001,-73.9662,48.16,79,100,1.01,US,1712084872
162,makokou,0.5738,12.8642,76.46,82,100,3.09,GA,1712084898
163,atafu village,-8.5421,-172.5159,84.56,74,12,4.61,TK,1712084899
164,presidente medici,-11.1753,-61.9014,77.92,90,84,1.25,BR,1712084899
165,trongsa,27.5026,90.5072,52.02,87,100,1.43,BT,1712084900
166,nadym,65.5333,72.5167,29.91,97,100,21.34,RU,1712084901
167,mokhsogollokh,61.4681,128.9203,0.27,100,93,4.36,RU,1712084902
168,west island,-12.1568,96.8225,80.58,78,40,6.91,CC,1712084902
169,fonte boa,-2.4959,-66.2662,90.18,60,92,2.44,BR,1712084710
170,jeddah,21.5169,39.2192,82.26,65,0,9.22,SA,1712084904
171,rantepao,-2.9701,119.8978,69.62,98,100,2.48,ID,1712084905
172,andalgala,-27.5819,-66.3165,67.93,47,0,6.64,AR,1712084906
173,pingliang,35.5392,106.6861,47.34,58,100,10.67,CN,1712084907
174,kikvidze,50.7416,43.0518,58.57,65,100,15.52,RU,1712084907
175,ndele,8.4109,20.6473,88.79,29,100,2.26,CF,1712084908
176,bac lieu,9.285,105.7244,81.34,71,71,7.83,VN,1712084909
177,sisimiut,66.9395,-53.6735,31.28,77,94,2.86,GL,1712084910
178,korla,41.7597,86.1469,48.99,52,0,3.18,CN,1712084911
179,howrah,22.5892,88.3103,84.2,79,0,5.75,IN,1712084911
180,dakhla,23.6848,-15.958,65.97,83,0,20.89,EH,1712084912
181,katsuura,35.1333,140.3,58.66,76,100,8.77,JP,1712084913
182,crescent city,41.756,-124.2018,61.74,91,100,4.61,US,1712084639
183,cascais,38.6979,-9.4215,61.5,98,75,25.01,PT,1712084914
184,ciudad bolivar,8.1222,-63.5497,93.85,43,97,10.96,VE,1712084712
185,strathalbyn,-35.2667,138.9,58.1,91,93,4.14,AU,1712084916
186,pisco,-13.7,-76.2167,79.02,73,0,8.05,PE,1712084650
187,broken hill,-31.95,141.4333,55.65,70,0,10.58,AU,1712084918
188,lazaro cardenas,17.9583,-102.2,82.62,60,100,10.74,MX,1712084919
189,smolenskoye,52.3044,85.0781,45.05,74,100,4.05,RU,1712084920
190,guangyuan,32.442,105.823,62.96,53,100,7.27,CN,1712084920
191,atherton,53.5237,-2.4935,54.25,71,100,4.0,GB,1712084921
192,saint-louis,16.3333,-15.0,103.19,12,0,14.16,SN,1712084922
193,gadzhiyevo,69.2551,33.3362,4.62,93,16,10.58,RU,1712084794
194,le moule,16.3332,-61.3473,82.18,100,100,4.0,GP,1712084924
195,tanaina,61.6269,-149.4281,23.77,77,100,5.99,US,1712084664
196,tual,-5.6667,132.75,82.31,80,100,10.89,ID,1712084925
197,karratha,-20.7377,116.8463,87.8,42,38,5.77,AU,1712084926
198,tura,25.5198,90.2201,70.43,40,5,5.03,IN,1712084927
